Post Type,Title,Author,Timestamp,Thread Link,Reply Author,Reply Message
Question,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Steve Yu,"Hello colleagues,Sending Printer Command from VFP - Microsoft: FoxProHi,  I am using EPSON LX-300 (dot matrix printer) to print out invoice report. Using ??? command to send everything out to the printer. Everything work fine unless the font and font size. I put already commands such as  SET PRINT FONT TO 'Courier', 8 ??? CHR(15) but they does not affect the...www.tek-tips.comAbove is an old thread that deals with exactly the same issue as I'm having now.My code:mpname = GETPRINTER()SET PRINTER TO NAME &mpnameSET DEVICE TO printSET PRINTER on??? chr(27) + ""x"" + ""0""  && draft mode??? chr(27) + ""k"" + ""2""  && courier? ""Hello World""set printer toThe front panel display of Epson does not change, showing 'script' instead of USD or HSD.Any output after that seems to resemble letter quality, not the draft mode I expected.And the courier font does not seem to work either.Help appreciated."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,ggreen61,What is your Windows printer driver -- I think you have to use a Raw printer driver.
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Tore Bleken,"Steve Yu said:Hello colleagues,Sending Printer Command from VFP - Microsoft: FoxProHi,  I am using EPSON LX-300 (dot matrix printer) to print out invoice report. Using ??? command to send everything out to the printer. Everything work fine unless the font and font size. I put already commands such as  SET PRINT FONT TO 'Courier', 8 ??? CHR(15) but they does not affect the...www.tek-tips.comAbove is an old thread that deals with exactly the same issue as I'm having now.My code:mpname = GETPRINTER()SET PRINTER TO NAME &mpnameSET DEVICE TO printSET PRINTER on??? chr(27) + ""x"" + ""0""  && draft mode??? chr(27) + ""k"" + ""2""  && courier? ""Hello World""set printer toThe front panel display of Epson does not change, showing 'script' instead of USD or HSD.Any output after that seems to resemble letter quality, not the draft mode I expected.And the courier font does not seem to work either.Help appreciated.Click to expand...Make sure that you use a printer driver that passes the data directly to the printer. It's called Generic, text only, or something like that."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Joe Crescenzi,Ditto.  You need to use Generic Text Only printer drivers.  Any device specific printer driver will not pass through ESC codes.
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Steve Yu,"That did it.Changed the driver from Epson to Generic/Text and the Esc code went through and reconfigured the fonts.Thanks everyone.One note: even I set Widows printer property to no spool (print direct), the print job still went to the print queue and won't go away until multiple 'set printer to', 'set printer off' commands. What is the exact command to end the print job ?"
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Chriss Miller,"This might help.3 Ways to Stop Printer Spooling on a Windows Computer - wikiHowPrinters can be tedious machines to use. This article will cover one of the most common printer problems: spooling. Printer Spooling, an acronym for Simultaneous Peripheral Operations On-line, is the term given to the system on your...www.wikihow.comAs it talks of starting the print spooler service, finally, I wonder what you mean with a no spool printer property.And what ends a print job you do with ??? after you SET PRINTER ON? I'd guess SET PRINTER OFF.Or, if not, it would be one of the specific escape sequences you would send to your printer, wouldn't it?"
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Steve Yu,"Chriss Miller said:This might help.3 Ways to Stop Printer Spooling on a Windows Computer - wikiHowPrinters can be tedious machines to use. This article will cover one of the most common printer problems: spooling. Printer Spooling, an acronym for Simultaneous Peripheral Operations On-line, is the term given to the system on your...www.wikihow.comAs it talks of starting the print spooler service, finally, I wonder what you mean with a no spool printer property.And what ends a print job you do with ??? after you SET PRINTER ON? I'd guess SET PRINTER OFF.Or, if not, it would be one of the specific escape sequences you would send to your printer, wouldn't it?Click to expand...I'm familiar with start/stop procedures of spooler under Windows Services.Here it seems I need to use Generic/Text as driver (vs Epson printer driver) and disable print spool; that's what I did by selecting 'Print directly to printer' instead of 'Spool print documents' under printer property.My question was, with these settings, my print output went to the print queue anyway and stay there for sometime until I did a bunch of 'set printer off','set printer to'.Maybe there is a time delay between 'set printer off' and when print jobs actually clear out of the queue; but it just seems to me they stay there for a very long time.Maybe I'll try the printer reset Esc sequence at the end and see if it clears the queue."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Joe Crescenzi,"It's been a while since I've needed to send ESC codes, but one thing that may make a difference is sending a FormFeed character when you want to eject a page.In the old days, printers printed one line at a time.  You sent a line, it printed the line right after the Carriage Return and Line Feed was sent.When page based printers came along (laser and inkjets), they didn't start printing until either the page hit the last line, or you sent a FormFeed, CHR(12).  That's because unlike line based printers, page based printers could define pages in any order by positioning items anywhere on the page, so they often wait until the FF to know when to print."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Steve Yu,"Joe Crescenzi said:It's been a while since I've needed to send ESC codes, but one thing that may make a difference is sending a FormFeed character when you want to eject a page.In the old days, printers printed one line at a time.  You sent a line, it printed the line right after the Carriage Return and Line Feed was sent.When page based printers came along (laser and inkjets), they didn't start printing until either the page hit the last line, or you sent a FormFeed, CHR(12).  That's because unlike line based printers, page based printers could define pages in any order by positioning items anywhere on the page, so they often wait until the FF to know when to print.Click to expand...Esc codes are used here primarily for printer font selection purpose for Epson LQ-590 dot-matrix printer (unfortunately we are still searching for laser alternatives for multi-part paper apps, or paperless options, but still, people need that piece of paper). The build-in Set Printer Font command in VFP does not seem to work (can't trigger draft mode for example). Even though the Set Printer Font does work for Okidata dot-matrix printers without need for any Esc codes.Maybe that was the question I should have posted instead."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Chriss Miller,"There is no direct printing, that should be clear by needing the Generic/Text Only driver. Your printer communication in Windows always goes through a driver and uses the whole Windows printer environment, i.e. print queue. Print queue and spooling are a tandem, they're not the same.I'd set it that way. Isn't that an option in the driver settings?Otherwise any ??? does neither finish a line nor a page, and even with a form feed (page feed) you're never defining thelastpage. So if you don't have these detailed options but only spooling or direct printing, I guess direct printing will still not mean immediate printing. I'd still say SET PRINTER OFF ends the job, maybe also SET PRINTER TO afterwards tells the printer and Windows you're done with that printer.Steve Yu said:Maybe I'll try the printer reset Esc sequence at the end and see if it clears the queue.Click to expand...Surely a good idea worth testing, I fear it would rather forget the whole print job, though."
